pair_id,para_id,sent_id,complex,label,simple,simp_sent_id,doc_pos,doc_quint,doc_len
CD000052,0,0,This review includes a total of 1897 children and 729 adults in 39 trials.,rephrase,['We found 39 clinical trials involving 1897 children and 729 adults.'],0,0.0769230769230769,1,13
CD000052,0,1,"Thirty-three trials were conducted in the emergency room and equivalent community settings, and six trials were on inpatients with acute asthma (207 children and 28 adults).",rephrase,"[""Thirty-three of the trials were conducted in an emergency room (or emergency department) and community settings (such as a GP's surgery), and six trials were on inpatients (people in hospital) with acute asthma (207 children and 28 adults).""]",1,0.1538461538461538,1,13
CD000052,0,2,The method of delivery of beta₂-agonist did not show a significant difference in hospital admission rates.,rephrase,"['Taking beta-agonists through either a spacer or a nebuliser in the emergency department did not make a difference to the number of adults being admitted to hospital, whilst in children we can be fairly confident that nebulisers are not better than spacers at preventing admissions.']",2,0.2307692307692307,2,13
CD000052,0,5,"In children, length of stay in the emergency department was significantly shorter when the spacer was used.",rephrase,"['In children, the length of stay in the emergency department was significantly shorter when the spacer was used instead of a nebuliser.']",3,0.4615384615384615,3,13
CD000052,0,9,"Pulse rate was lower for spacer in children, mean difference -5% baseline (95% CI -8% to -2%, moderate quality evidence), as was the risk of developing tremor (RR 0.64; 95% CI 0.44 to 0.95, moderate quality evidence).",rephrase,"['Pulse rate was lower in children taking beta-agonists through a spacer (mean difference -5% baseline), and there was a lower risk of developing tremor.']",8,0.7692307692307693,4,13
CD000081,0,0,"This updated review includes 12 studies (6177 women), 11 in women in labour for whom a vaginal birth was intended, and one in women where an assisted birth was anticipated.",rephrase,['The review now includes 11 randomised controlled trials (with 5977 women) that compared episiotomy as needed (selective episiotomy) with routine episiotomy in terms of benefits and harms for mother and baby in women at low risk of instrumental delivery.'],0,0.05,1,20
CD000081,1,4,"For women where an unassisted vaginal birth was anticipated, a policy of selective episiotomy may result in 30% fewer women experiencing severe perineal/vaginal trauma (RR 0.70, 95% CI 0.52 to 0.94; 5375 women; eight RCTs; low-certainty evidence).",rephrase,"['In women where health staff were only conducting selective episiotomy, there may be 30% fewer with severe perineal trauma at birth compared with women where a policy of routine episiotomy was applied (eight trials, 5375 women, low-certainty evidence).']",1,0.25,2,20
CD000081,1,5,"We do not know if there is a difference for blood loss at delivery (an average of 27 mL less with selective episiotomy, 95% CI from 75 mL less to 20 mL more; two trials, 336 women, very low-certainty evidence).",rephrase,"['We do not know if there is a difference in average blood loss between the groups (two trials, very low-certainty evidence).']",2,0.3,2,20
CD000081,1,6,"Both selective and routine episiotomy have little or no effect on infants with Apgar score less than seven at five minutes (four trials, no events; 3908 women, moderate-certainty evidence); and there may be little or no difference in perineal infection (RR 0.90, 95% CI 0.45 to 1.82, three trials, 1467 participants, low-certainty evidence).",rephrase,"['There is probably no difference in Apgar less than seven at five minutes, with no events in either groups (moderate-certainty evidence).']",3,0.35,2,20
CD000081,2,7,"For pain, we do not know if selective episiotomy compared with routine results in fewer women with moderate or severe perineal pain (measured on a visual analogue scale) at three days postpartum (RR 0.71, 95% CI 0.48 to 1.05, one trial, 165 participants, very low-certainty evidence).",rephrase,"[""We do not know if there is a difference in the number of women with moderate or severe perineal pain three days after giving birth (one trial, 165 women, very low-certainty evidence) but careful assessment of women's pain was not well carried out in the included trials.""]",4,0.4,2,20
